Age,Workclass,Fnlwgt,Education,Education.Num,Marital.Status,Occupation,Relationship,Race,Sex,Capital.Gain,Capital.Loss,Hours.Per.Week,Native.Country,Income
17,Federal-gov,"99,893",11th,7,Never-married,Adm-clerical,Not-in-family,Black,Female,0,"1,602.00",40,United-States,<=50K
17,Local-gov,"148,194",11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0.00,12,United-States,<=50K
17,Local-gov,"170,916",10th,6,Never-married,Protective-serv,Own-child,White,Female,0,"1,602.00",40,United-States,<=50K
17,Local-gov,"173,497",11th,7,Never-married,Prof-specialty,Own-child,Black,Male,0,0.00,15,United-States,<=50K
17,Local-gov,"175,587",11th,7,Never-married,Protective-serv,Own-child,White,Male,0,0.00,30,United-States,<=50K
17,Local-gov,"182,070",11th,7,Never-married,Other-service,Own-child,White,Female,0,0.00,16,United-States,<=50K
17,Local-gov,"191,910",11th,7,Never-married,Sales,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Local-gov,"192,387",9th,5,Never-married,Other-service,Own-child,White,Male,0,0.00,45,United-States,<=50K
17,Local-gov,"195,262",11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0.00,35,United-States,<=50K
17,Local-gov,"244,856",11th,7,Never-married,Prof-specialty,Own-child,White,Female,0,0.00,40,United-States,<=50K
17,Local-gov,"246,308",11th,7,Never-married,Prof-specialty,Own-child,White,Female,0,0.00,20,Puerto-Rico,<=50K
17,Local-gov,"308,901",11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,Local-gov,"32,124",9th,5,Never-married,Other-service,Own-child,Black,Male,0,0.00,9,United-States,<=50K
17,Local-gov,"340,043",12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0.00,12,United-States,<=50K
17,Local-gov,"39,815",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,25,United-States,<=50K
17,N/A,"103,810",12th,8,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"104,025",11th,7,Never-married,N/A,Own-child,White,Male,0,0.00,18,United-States,<=50K
17,N/A,"110,998",Some-college,10,Never-married,N/A,Own-child,Asian-Pac-Islander,Female,0,0.00,40,Philippines,<=50K
17,N/A,"112,942",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"114,798",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,18,United-States,<=50K
17,N/A,"127,003",9th,5,Never-married,N/A,Own-child,Black,Male,0,0.00,40,United-States,<=50K
17,N/A,"138,507",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,N/A,"139,183",10th,6,Never-married,N/A,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,N/A,"144,114",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"145,258",11th,7,Never-married,N/A,Other-relative,White,Female,0,0.00,25,United-States,<=50K
17,N/A,"145,886",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,30,United-States,<=50K
17,N/A,"148,769",HS-grad,9,Never-married,N/A,Own-child,Black,Male,0,0.00,40,United-States,<=50K
17,N/A,"151,141",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,30,United-States,<=50K
17,N/A,"158,762",10th,6,Never-married,N/A,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,N/A,"161,259",10th,6,Never-married,N/A,Other-relative,White,Male,0,0.00,12,United-States,<=50K
17,N/A,"161,981",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"166,759",12th,8,Never-married,N/A,Own-child,White,Female,0,0.00,40,United-States,<=50K
17,N/A,"170,320",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,8,United-States,<=50K
17,N/A,"171,461",10th,6,Never-married,N/A,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,N/A,"172,145",10th,6,Never-married,N/A,Own-child,Black,Female,0,0.00,40,United-States,<=50K
